Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMP6.asc	attic2-n	P	303.5555556	6252	47.55555556	11.08588287	12.85166832	10.34488885	334.2222222	-2.051561435	-0.022359572	122.5646224	91.93720201	97.7199442	120	90	95
JIMP6.asc	attic-z	P	269.1428571	6252	47.80952381	12.01236306	15.64145383	15.57776414	370.7142857	-3.853479614	-4.607036635	133.7822895	131.9793674	114.4363592	130	130	110
JIMP6.asc	barn-n	P	348	6400	40.70588235	9.549802404	12.27099003	14.1071847	331.9411765	-2.771754128	-5.071688632	114.7733111	102.0369227	93.8531804	110	100	90
JIMP6.asc	bar-z	P	256.5714286	6188	39.42857143	8.284194304	10.14415856	9.861919522	310.9047619	-1.883674045	-2.0978036	103.598286	102.8133644	108.1227286	100	100	105
JIMP6.asc	bath2-n	P	281.75	6016	49.5	11.40687079	14.2925216	14.18030709	341.75	-3.157724389	-4.03900313	126.2272864	110.8650242	91.49262815	125	110	90
JIMP6.asc	bath-z	P	277.5555556	6120	46.22222222	11.44579474	16.61137258	17.29221021	339.4444444	-5.299923328	-6.319428687	109.7563288	109.5535786	97.56439695	105	105	95
JIMP6.asc	bed2-n	P	266.3157895	6156	49.05263158	12.78579674	20.27130756	21.42509542	359.5263158	-7.925087912	-9.730883449	120.0625055	123.013236	119.1925616	120	120	115
JIMP6.asc	bed3-z	P	248.8	6052	42	8.933866243	10.74460432	9.841377839	319.55	-2.161129984	-1.809946831	121.3198718	98.40522031	89.47357095	120	95	85
JIMP6.asc	bed4-n	P	247.5555556	6140	49.77777778	11.80379659	13.73175092	12.54296713	402.6111111	-2.20024386	-1.766216396	109.356242	102.1511481	81.43458322	105	100	80
JIMP6.asc	bed-z	P	297.7777778	6192	54.44444444	14.89683186	18.71623644	14.74587747	404.2777778	-4.251748569	-0.75023612	90.6264266	108.2520719	95.75495048	90	105	95
JIMP6.asc	board-z	P	279.0588235	6640	47.76470588	12.40626793	15.5189159	15.38329637	374.1764706	-3.783248577	-4.248772756	132.318969	106.8250504	102.5985759	130	105	100
JIMP6.asc	chap-n	P	318.8888889	6244	44	10.05721507	12.06156884	13.91373703	344.6666667	-2.150052297	-4.895276965	105.0011857	104.4740548	93.11994615	105	100	90
